Date,cum_confirmed,cum_recovered,cum_deaths,Confirmed,Recovered,Deaths
1/30/2020,1,0,0,1,0,0
1/31/2020,1,0,0,0,0,0
2/1/2020,1,0,0,0,0,0
2/2/2020,2,0,0,1,0,0
2/3/2020,3,0,0,1,0,0
2/4/2020,3,0,0,0,0,0
2/5/2020,3,0,0,0,0,0
2/6/2020,3,0,0,0,0,0
2/7/2020,3,0,0,0,0,0
2/8/2020,3,0,0,0,0,0
2/9/2020,3,0,0,0,0,0
2/10/2020,3,0,0,0,0,0
2/11/2020,3,0,0,0,0,0
2/12/2020,3,0,0,0,0,0
2/13/2020,3,1,0,0,1,0
2/14/2020,3,1,0,0,0,0
2/15/2020,3,1,0,0,0,0
2/16/2020,3,2,0,0,1,0
2/17/2020,3,2,0,0,0,0
2/18/2020,3,2,0,0,0,0
2/19/2020,3,2,0,0,0,0
2/20/2020,3,3,0,0,1,0
2/21/2020,3,3,0,0,0,0
2/22/2020,3,3,0,0,0,0
2/23/2020,3,3,0,0,0,0
2/24/2020,3,3,0,0,0,0
2/25/2020,3,3,0,0,0,0
2/26/2020,3,3,0,0,0,0
2/27/2020,3,3,0,0,0,0
2/28/2020,3,3,0,0,0,0
2/29/2020,3,3,0,0,0,0
3/1/2020,3,3,0,0,0,0
3/2/2020,5,3,0,2,0,0
3/3/2020,6,3,0,1,0,0
3/4/2020,28,3,0,22,0,0
3/5/2020,30,3,0,2,0,0
3/6/2020,31,3,0,1,0,0
3/7/2020,34,3,0,3,0,0
3/8/2020,39,3,0,5,0,0
3/9/2020,48,3,0,9,0,0
3/10/2020,63,4,0,15,1,0
3/11/2020,71,4,0,8,0,0
3/12/2020,81,4,0,10,0,0
3/13/2020,91,10,1,10,6,1
3/14/2020,102,10,2,11,0,1
3/15/2020,112,13,2,10,3,0
3/16/2020,126,14,2,14,1,0
3/17/2020,146,15,3,20,1,1
3/18/2020,171,15,3,25,0,0
3/19/2020,198,20,4,27,5,1
3/20/2020,256,23,4,58,3,0
3/21/2020,334,23,4,78,0,0
3/22/2020,403,23,7,69,0,3
3/23/2020,497,25,9,94,2,2
3/24/2020,571,40,10,74,15,1
3/25/2020,657,43,11,86,3,1
3/26/2020,730,50,16,73,7,5
3/27/2020,883,75,19,153,25,3
3/28/2020,1019,85,24,136,10,5
3/29/2020,1139,102,27,120,17,3
3/30/2020,1326,137,41,187,35,14
3/31/2020,1635,150,47,309,13,6
4/1/2020,2059,169,53,424,19,6
4/2/2020,2545,191,69,486,22,16
4/3/2020,3105,230,83,560,39,14
4/4/2020,3684,286,96,579,56,13
4/5/2020,4293,329,118,609,43,22
4/6/2020,4777,394,134,484,65,16
4/7/2020,5350,469,161,573,75,27
4/8/2020,5915,565,181,565,96,20
4/9/2020,6728,635,227,813,70,46
4/10/2020,7599,786,249,871,151,22
4/11/2020,8453,972,290,854,186,41
4/12/2020,9211,1086,332,758,114,42
4/13/2020,10454,1198,359,1243,112,27
4/14/2020,11485,1365,396,1031,167,37
4/15/2020,12371,1509,423,886,144,27
4/16/2020,13432,1767,449,1061,258,26
4/17/2020,14354,2040,487,922,273,38
4/18/2020,15725,2466,522,1371,426,35
4/19/2020,17305,2854,560,1580,388,38
4/20/2020,18544,3273,593,1239,419,33
4/21/2020,20081,3976,646,1537,703,53
4/22/2020,21373,4370,682,1292,394,36
4/23/2020,23040,5012,722,1667,642,40
4/24/2020,24448,5496,781,1408,484,59
4/25/2020,26283,5938,825,1835,442,44
4/26/2020,27890,6523,881,1607,585,56
4/27/2020,29458,7103,939,1568,580,58
4/28/2020,31360,7739,1008,1902,636,69
4/29/2020,33065,8429,1079,1705,690,71
4/30/2020,34866,9059,1154,1801,630,75
5/1/2020,37257,10005,1223,2391,946,69
5/2/2020,39311,10731,1319,2049,710,88
